#name, n_detections, first_mjd, last_mjd, ra, dec, class, hi_prob, delta_mjd
ZTF23aagpize,	79,	60051.466,	60195.214,	271.163, 9.465,	AGN,	0.265,	143.748
ZTF23aajfydl,	36, 60076.446,	60150.228,	277.113, 6.119,	VS,	0.467,	73.783
ZTF23aagvqoi,	53,	60043.482,	60174.212,	281.760, -8.561,	VS,	0.339,	130.730
ZTF23aaiqvoy,	9,	60058.441,	60091.371,	282.541, 5.642,	bogus,	0.606,	32.930
ZTF20actltga,	10,	59169.153,	59295.508,	311.526, 46.163,	bogus,	0.455,	126.355
ZTF21abwqhnf,	15,	59458.212,	59479.234,	287.945, 14.001,	bogus,	0.407,	21.023
ZTF23aazvcuu,	19,	60191.407,	60216.154,	324.866, 55.361,	SN,	0.476,	24.747
ZTF23abndgzk,	15,	60242.179,	60268.131,	311.375, 36.424,	bogus,	0.783,	25.952
ZTF22aarrrgb,	26,	59763.344,	59785.306,	299.765, 18.557,	bogus,	0.505,	21.962
ZTF23abaunxi,	19,	60191.170,	60224.170,	285.954, -1.050,	bogus,	0.411,	33.001
ZTF22aardmht,	37,	59776.268,	59853.204,	287.425, 3.277,	VS,	0.347,	76.936
ZTF22aapbmfp,	33,	59747.340,	59813.169,	261.021, -11.592,	SN,	0.698,	65.829
ZTF21abahtfi,	40,	59343.397,	59469.149,	263.426, -20.868,	VS,	0.558,	125.751
ZTF24aarizzi,	43,	60471.356,	60551.275,	282.354, -12.877,	VS,	0.390,	79.919
ZTF24aawzlfb,	33,	60520.360,	60551.280,	297.448, 12.105,	VS,	0.298,	30.919
