Cluster,RA,DEC,GAL_L,GAL_B,R_Sun,DR_Sun,R_GC,DR_GC,Mass,DMass,V_mag,DV_mag,M/L_V,DM/L_V,rc,rh_l,rh_m,rt,rho_c,rho_h_m,RV,ERV,sig0,mualpha,emualpha,mu_delta,emudelta,rhopmrad,sig_c,sig_h_m,Trh,MF,F_REM,vesc,etac,etah,A_Rot,DA_Rot,P_Rot,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,ERPERI,RAPO,ERAPO,[Fe/H],E(B-V),V_HB,V_t,M_V_t,U-B,B-V,V-R,V-I,spt,ellip,v_r,ev_r,v_LSR,sig_v,esig_v,c,coll,r_c,r_h
IC_1276,272.68444,-7.2076,21.832,5.668,4.55,0.25,4.34,0.17,73900.0,6980.0,9.92,0.07,1.8,0.2,1.18,3.15,5.21,37.32,2.9,1.8,155.06,0.69,3.6,-2.553,0.026,-4.568,0.026,0.01,3.38,2.72,9.07,-0.25,0.49,13.6,-0.32,-0.1,,,,3.97,0.23,1.69,0.09,0.45,0.02,-196.18,0.67,204.71,0.57,24.29,0.56,3.69,0.09,6.91,0.41,-0.75,1.08,17.7,10.34,-6.67,1.03,1.76,,,,,155.7,1.3,169.2,,,1.33,,1.01,2.38
Ter_12,273.06583,-22.74194,8.358,-2.101,5.17,0.38,3.17,0.34,87200.0,19500.0,13.82,0.12,3.69,0.91,0.84,1.72,3.28,32.11,3.32,2.47,95.61,1.21,4.3,-6.222,0.037,-3.052,0.034,0.13,3.72,3.26,8.89,-2.3,0.09,17.6,-0.38,-0.13,,,,3.07,0.38,0.75,0.06,-0.19,0.01,-129.34,1.2,129.47,0.85,101.58,0.89,1.8,0.2,3.73,0.4,-0.5,2.06,20.5,15.63,-4.14,,,,,,,94.1,1.5,104.2,,,0.57,,0.83,0.75
NGC_6569,273.41167,-31.82689,0.481,-6.681,10.53,0.26,2.59,0.23,236000.0,21500.0,8.9,0.12,2.25,0.22,1.1,2.59,3.85,41.61,3.58,2.69,-49.83,0.5,7.3,-4.125,0.028,-7.354,0.028,0.01,4.03,3.49,9.06,-0.07,0.59,27.3,-0.26,-0.12,0.81,0.91,52.3,-2.28,0.26,0.09,0.0,-1.23,0.03,33.66,0.52,-169.1,1.4,23.3,1.38,1.69,0.32,2.71,0.27,-0.76,0.53,17.52,8.55,-8.28,0.74,1.34,0.83,1.69,G1,0.0,-28.1,5.6,-20.3,,,1.31,,0.35,0.8
BH_261,273.5275,-28.635,3.362,-5.27,6.12,0.26,2.2,0.23,22000.0,1170.0,10.75,0.15,7.88,0.51,0.34,2.66,4.66,16.48,3.54,1.41,-45.0,15.0,2.1,3.566,0.043,-3.59,0.037,0.1,3.47,2.33,8.92,-1.7,0.4,8.6,-0.39,-0.13,,,,2.1,0.26,0.36,0.02,-0.56,0.02,43.96,14.89,205.88,1.42,-128.23,1.84,1.62,0.27,3.12,0.27,-1.3,0.36,15.8,11.0,-4.19,,,,,,0.03,,,,,,1.0,,0.4,0.55
NGC_6584,274.65665,-52.21578,342.143,-16.414,13.61,0.17,6.99,0.15,102000.0,17300.0,8.76,0.05,1.34,0.23,1.55,3.44,5.37,55.84,2.78,1.9,260.64,1.58,4.0,-0.09,0.026,-7.202,0.025,-0.01,3.37,2.84,9.2,-0.63,0.54,15.1,-0.33,-0.12,,,,-4.25,0.16,-4.0,0.05,-3.85,0.05,-69.47,1.6,-217.32,1.64,-237.76,1.65,2.28,0.18,19.72,1.06,-1.5,0.1,16.53,8.27,-7.69,0.17,0.76,0.5,1.04,F6,,222.9,15.0,224.9,,,1.47,,0.26,0.73
NGC_6624,275.91879,-30.36103,2.788,-7.913,8.02,0.11,1.2,0.01,156000.0,3920.0,8.03,0.08,2.09,0.14,0.33,2.33,3.69,19.45,5.05,2.61,54.79,0.4,7.0,0.124,0.029,-6.936,0.029,-0.0,4.69,3.36,8.91,0.32,0.75,29.1,-0.36,-0.05,0.87,1.04,46.7,0.24,0.11,0.39,0.01,-1.1,0.01,-59.67,0.43,21.3,1.09,-122.54,1.09,0.3,0.04,1.38,0.05,-0.44,0.28,16.09,7.87,-7.49,0.6,1.11,0.67,1.42,G4/5,0.06,53.9,0.6,62.1,5.4,0.5,2.5,c,0.06,0.82
NGC_6626,276.13704,-24.86985,7.798,-5.581,5.37,0.1,3.02,0.09,299000.0,19400.0,6.85,0.07,2.14,0.18,0.29,1.6,2.26,47.61,5.11,3.49,11.11,0.6,11.3,-0.278,0.028,-8.922,0.028,-0.01,5.0,4.05,8.72,-0.01,0.69,45.2,-0.42,-0.11,2.42,1.08,100.0,2.88,0.1,0.72,0.01,-0.52,0.01,-40.4,0.6,49.45,0.71,-91.45,0.72,0.59,0.08,3.03,0.12,-1.32,0.4,15.55,6.79,-8.16,0.46,1.08,0.69,1.41,F8,0.16,17.0,1.0,26.6,8.6,1.3,1.67,,0.24,1.97
NGC_6638,277.73373,-25.49747,7.896,-7.153,9.78,0.34,2.3,0.25,118000.0,22300.0,8.79,0.11,1.48,0.31,0.46,1.86,2.2,29.94,4.31,3.12,8.63,2.0,6.9,-2.518,0.029,-4.076,0.029,0.01,4.38,3.67,8.49,1.58,0.74,26.8,-0.33,-0.1,,,,-1.43,0.33,1.33,0.05,-1.22,0.04,-52.36,1.98,34.69,1.34,25.43,1.34,0.33,0.09,2.3,0.27,-0.95,0.41,16.8,9.02,-7.12,0.56,1.15,0.72,1.5,G0,0.01,18.1,3.9,27.5,,,1.33,,0.22,0.51
NGC_6637,277.84625,-32.34808,1.723,-10.269,8.9,0.1,1.71,0.05,155000.0,18100.0,7.62,0.05,1.72,0.21,0.85,2.41,3.69,25.34,3.65,2.57,47.48,1.0,6.1,-5.034,0.028,-5.832,0.028,0.04,4.0,3.35,8.95,0.06,0.61,23.3,-0.3,-0.12,,,,-0.58,0.1,0.26,0.0,-1.59,0.02,-82.31,1.01,-59.6,1.16,82.05,1.15,0.39,0.09,2.06,0.08,-0.64,0.18,15.98,7.64,-7.64,0.48,1.01,0.62,1.28,G2/3,0.01,39.9,2.8,47.5,,,1.38,,0.33,0.84
NGC_6642,277.97596,-23.4756,9.815,-6.439,8.05,0.2,1.66,0.01,34400.0,1110.0,9.65,0.12,1.22,0.07,0.17,1.34,1.51,15.42,4.86,3.08,-60.61,1.35,4.8,-0.173,0.03,-3.892,0.03,0.0,4.5,3.46,7.92,1.33,0.69,19.4,-0.32,-0.08,,,,0.3,0.2,1.36,0.03,-0.9,0.02,31.9,1.35,107.28,1.15,-46.7,1.16,0.29,0.06,1.82,0.07,-1.26,0.4,16.4,9.13,-6.66,0.57,1.11,0.72,1.45,F8,0.03,-57.2,5.4,-47.3,,,1.99,c:,0.1,0.73
NGC_6652,278.94012,-32.99072,1.534,-11.377,9.46,0.14,2.18,0.09,48100.0,7040.0,8.92,0.05,1.8,0.27,0.26,1.47,1.96,18.84,4.57,2.88,-95.37,0.86,4.9,-5.484,0.027,-4.274,0.027,0.01,4.36,3.37,8.19,1.04,0.69,19.6,-0.36,-0.06,,,,-1.1,0.14,0.25,0.0,-1.87,0.03,47.01,0.88,-27.39,1.21,164.85,1.2,0.32,0.05,3.11,0.16,-0.81,0.09,15.96,8.62,-6.66,0.37,0.94,0.52,1.08,G3,0.2,-111.7,5.8,-104.3,,,1.8,,0.1,0.48
NGC_6656,279.09976,-23.90475,9.892,-7.552,3.3,0.04,5.0,0.03,476000.0,5040.0,5.06,0.06,2.05,0.08,1.04,3.15,5.29,77.2,3.95,2.59,-148.72,0.78,8.9,9.851,0.023,-5.617,0.023,-0.0,4.3,3.52,9.52,-0.95,0.45,35.2,-0.37,-0.08,3.38,0.71,100.0,4.95,0.04,0.56,0.01,-0.43,0.0,155.33,0.76,212.81,0.38,-148.93,0.37,2.96,0.02,9.59,0.03,-1.7,0.34,14.15,5.1,-8.5,0.28,0.98,0.68,1.42,F5,0.14,-146.3,0.2,-136.6,7.8,0.3,1.38,,1.33,3.36
Pal_8,280.37729,-19.82886,14.103,-6.801,11.32,0.63,4.09,0.51,67400.0,15000.0,11.02,0.0,6.34,1.84,1.95,3.43,5.86,34.48,2.35,1.6,-31.54,0.21,3.1,-1.987,0.027,-5.694,0.027,0.01,3.05,2.59,9.15,-0.29,0.45,11.6,-0.28,-0.11,,,,-2.72,0.61,2.74,0.15,-1.34,0.07,-54.28,0.44,-67.83,1.41,-29.24,1.43,1.15,0.37,4.13,0.58,-0.37,0.32,17.27,11.02,-5.51,0.72,1.22,,,,,-43.0,15.0,-32.3,,,1.53,,0.56,0.58
NGC_6681,280.80316,-32.29211,2.853,-12.51,9.36,0.11,2.29,0.06,116000.0,1680.0,7.91,0.05,1.84,0.07,0.07,2.14,2.89,27.72,6.33,2.76,216.62,0.84,7.1,1.431,0.027,-4.744,0.026,0.01,5.38,3.42,8.71,0.15,0.69,29.4,-0.38,-0.12,,,,-0.95,0.1,0.45,0.01,-2.03,0.02,-199.26,0.86,95.78,1.16,-180.89,1.16,0.86,0.04,4.97,0.16,-1.62,0.07,15.55,7.87,-7.12,0.12,0.72,0.47,0.99,F5,0.01,220.3,0.9,227.8,5.2,0.5,2.5,c,0.03,0.71
RLGC_2,281.36737,-5.19258,,,15.85,2.2,9.4,1.95,243000.0,0.0,13.9,0.0,1.8,0.0,0.24,3.38,4.87,92.98,5.7,2.41,,,7.6,,,,,,5.02,3.29,9.23,-0.2,0.57,31.6,-0.39,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC_6712,283.26802,-8.70596,25.354,-4.318,7.38,0.24,3.55,0.01,96300.0,7150.0,8.6,0.06,1.58,0.13,1.06,2.53,3.21,33.66,3.3,2.54,-107.45,0.29,5.1,3.363,0.027,-4.436,0.027,0.02,3.74,3.27,8.73,0.84,0.7,18.6,-0.27,-0.1,0.58,0.69,45.8,1.53,0.21,3.15,0.1,-0.56,0.02,61.03,0.48,123.47,0.85,-159.22,0.94,0.41,0.06,4.85,0.1,-1.02,0.45,16.25,8.1,-7.5,0.53,1.17,0.72,1.57,F9,0.11,-107.6,0.5,-94.7,4.3,0.4,1.05,,0.76,1.33
NGC_6715,283.76385,-30.47986,5.607,-14.087,26.28,0.33,18.51,0.32,1780000.0,29900.0,7.57,0.08,2.1,0.12,0.54,3.58,5.2,283.3,5.18,3.19,143.13,0.43,19.2,-2.679,0.025,-1.387,0.025,0.0,5.25,4.09,9.65,-0.28,0.54,76.8,-0.37,-0.02,0.57,1.11,18.5,-17.19,0.32,2.49,0.03,-6.4,0.08,-235.26,0.93,-18.45,3.14,202.82,3.07,14.61,0.39,46.32,2.23,-1.49,0.15,18.16,7.6,-9.98,0.24,0.85,0.53,1.1,F7/8,0.06,141.3,0.3,149.2,10.5,0.3,2.04,,0.09,0.82
NGC_6717,283.77518,-22.70147,12.876,-10.9,7.52,0.13,2.38,0.02,35800.0,8300.0,8.98,0.05,1.55,0.36,0.2,3.65,4.23,19.8,4.37,1.75,30.25,0.9,3.3,-3.125,0.027,-5.008,0.027,0.03,4.09,2.57,8.73,1.19,0.88,13.6,-0.36,-0.06,,,,0.98,0.13,1.65,0.03,-1.42,0.02,-91.33,0.91,56.18,0.97,26.56,0.97,0.74,0.03,2.54,0.05,-1.26,0.22,15.55,9.28,-5.66,0.35,1.0,0.65,1.37,F6,0.01,22.8,3.4,32.7,,,2.07,,0.08,0.68
NGC_6723,284.88812,-36.63225,0.069,-17.299,8.27,0.1,2.47,0.02,177000.0,10700.0,7.21,0.05,2.01,0.14,1.68,3.55,5.06,37.16,2.96,2.22,-94.39,0.26,5.5,1.028,0.025,-2.418,0.025,0.0,3.6,3.14,9.21,-0.11,0.63,20.0,-0.32,-0.11,0.84,0.55,93.0,0.28,0.09,0.01,0.0,-2.46,0.03,100.34,0.39,178.46,1.0,-33.43,0.96,2.08,0.05,2.82,0.03,-1.1,0.05,15.48,7.01,-7.83,0.21,0.75,0.5,1.05,F9,0.0,-94.5,3.6,-88.3,,,1.11,c:,0.83,1.53
NGC_6749,286.31406,1.89976,36.2,-2.205,7.59,0.21,4.94,0.04,211000.0,42800.0,10.91,0.08,1.4,0.29,1.44,4.54,7.09,63.4,3.04,1.87,-58.44,0.96,5.1,-2.829,0.028,-6.006,0.027,0.01,3.62,2.93,9.51,-0.59,0.47,19.9,-0.4,-0.06,,,,2.06,0.17,4.48,0.13,-0.29,0.01,-104.72,0.97,24.89,0.98,1.07,1.0,1.43,0.05,4.95,0.04,-1.6,1.5,19.7,12.44,-6.7,0.8,2.14,,,,,-61.7,2.9,-47.2,,,0.79,,0.62,1.1
NGC_6752,287.7171,-59.98455,336.493,-25.628,4.12,0.04,5.3,0.02,276000.0,3790.0,5.35,0.06,2.34,0.11,0.13,2.87,5.27,67.43,5.93,2.36,-26.01,0.12,7.6,-3.161,0.022,-4.027,0.022,-0.01,5.2,3.28,9.4,-0.83,0.64,31.7,-0.38,-0.11,0.91,0.34,99.9,4.77,0.03,-1.48,0.01,-1.78,0.02,27.28,0.27,172.29,0.41,60.49,0.4,3.37,0.03,5.48,0.01,-1.54,0.04,13.7,5.4,-7.73,0.07,0.66,0.43,0.93,F4/5,0.04,-26.7,0.2,-27.3,4.9,0.4,2.5,c,0.17,1.91
NGC_6760,287.80027,1.03047,36.108,-3.924,8.41,0.43,5.17,0.14,269000.0,24600.0,8.89,0.06,1.8,0.18,1.07,3.25,5.22,71.6,3.54,2.37,-2.37,1.27,6.8,-1.107,0.026,-3.615,0.026,0.02,3.98,3.29,9.28,0.22,0.5,26.3,-0.3,-0.05,,,,1.4,0.35,4.95,0.25,-0.58,0.03,-95.12,1.19,129.92,1.12,-19.36,1.04,1.85,0.06,5.8,0.18,-0.4,0.77,17.46,8.88,-7.84,1.09,1.66,1.01,2.12,G5,0.04,-27.5,6.3,-13.2,,,1.65,,0.34,1.27
NGC_6779,289.14819,30.18347,62.659,8.336,10.43,0.14,9.91,0.09,186000.0,17600.0,8.15,0.06,1.74,0.18,1.18,2.95,4.51,96.87,3.35,2.39,-136.97,0.45,6.0,-2.018,0.025,1.618,0.025,0.01,3.83,3.26,9.17,-0.49,0.67,22.7,-0.33,-0.11,1.09,1.52,35.1,3.44,0.06,9.17,0.13,1.51,0.02,83.29,1.14,128.07,0.72,111.1,1.23,1.27,0.08,13.14,0.16,-1.98,0.26,16.18,8.27,-7.41,0.15,0.86,,1.16,F5,0.03,-135.6,0.9,-119.1,4.0,0.6,1.38,,0.44,1.1
Ter_7,289.43298,-34.65772,3.387,-20.067,24.28,0.49,16.85,0.47,24000.0,4100.0,11.86,0.05,2.14,0.37,4.28,6.33,13.21,64.78,0.87,0.1,159.85,0.14,1.2,-3.002,0.029,-1.651,0.029,0.05,1.9,1.44,9.69,-1.36,0.2,4.6,-0.29,-0.1,,,,-14.59,0.46,1.35,0.03,-8.33,0.17,-267.85,1.15,-28.59,3.28,197.6,3.1,14.56,0.55,51.29,4.4,-0.32,0.07,17.76,12.0,-5.01,,,,,,,166.0,4.0,172.5,,,0.93,,0.49,0.77
Pal_10,289.50693,18.57899,52.442,2.73,8.94,1.18,7.6,0.59,162000.0,27400.0,12.37,0.05,1.88,0.32,2.09,4.02,6.33,67.29,2.63,1.89,-31.7,0.23,4.6,-4.322,0.029,-7.173,0.029,0.02,3.36,2.92,9.35,-0.35,0.43,17.3,-0.27,-0.08,,,,2.73,0.72,7.08,0.94,0.43,0.06,-272.21,0.98,10.28,0.76,26.32,1.21,6.45,1.07,12.73,4.95,-0.1,1.66,19.8,13.22,-5.79,,,,,,,-31.7,0.4,-15.6,,,0.58,,0.81,0.99
Arp_2,292.18381,-30.35564,8.545,-20.785,28.73,0.34,21.39,0.33,37000.0,6130.0,11.65,0.06,1.8,0.31,7.84,14.17,18.45,85.77,0.4,-0.15,122.64,0.29,1.3,-2.331,0.031,-1.475,0.029,0.05,1.69,1.34,9.77,0.03,0.62,4.6,-0.18,-0.04,4.06,4.15,67.6,-18.38,0.32,3.99,0.05,-10.19,0.12,-249.15,1.65,-12.89,3.98,178.06,3.96,17.81,0.4,52.13,2.45,-1.75,0.1,18.13,12.3,-5.29,,0.86,,,,,115.0,10.0,122.4,,,0.88,,1.19,1.77
NGC_6809,294.99878,-30.96475,8.793,-23.272,5.35,0.05,4.01,0.03,193000.0,8190.0,6.29,0.05,2.06,0.1,2.9,4.58,6.95,51.52,2.39,1.84,174.7,0.17,4.9,-3.432,0.024,-9.311,0.024,0.01,3.26,2.91,9.55,-1.04,0.53,17.3,-0.26,-0.11,0.88,0.38,99.9,3.32,0.05,0.75,0.01,-2.11,0.02,-210.75,0.3,28.64,0.6,-55.64,0.56,1.57,0.01,5.62,0.04,-1.94,0.08,14.4,6.32,-7.57,0.11,0.72,0.48,1.0,F4,0.02,174.7,0.3,181.8,4.0,0.3,0.93,,1.8,2.83
Ter_8,295.43503,-33.99947,5.759,-24.559,27.54,0.42,20.43,0.4,62100.0,14000.0,11.05,0.05,1.79,0.41,10.62,15.17,21.53,101.42,0.3,-0.13,148.43,0.17,1.6,-2.496,0.027,-1.581,0.026,-0.02,1.72,1.45,10.12,-1.26,0.12,5.4,-0.18,-0.04,0.79,1.51,37.5,-16.74,0.38,2.51,0.04,-11.44,0.17,-278.25,1.51,-15.95,3.39,172.9,3.21,17.62,0.5,60.49,4.16,-2.16,0.12,17.95,12.4,-5.07,,,,,,,130.0,8.0,136.2,,,0.6,,1.0,0.95
Pal_11,296.31,-8.00722,31.805,-15.576,14.02,0.51,8.7,0.41,11900.0,4910.0,11.86,0.05,1.26,0.52,4.08,5.75,7.72,31.87,0.84,0.49,-67.64,0.76,1.2,-1.766,0.03,-4.971,0.028,0.04,1.85,1.62,8.94,1.06,0.14,3.9,-0.1,-0.07,,,,-3.3,0.42,7.12,0.26,-3.77,0.14,-130.37,1.28,-83.85,1.67,-12.65,1.91,4.56,0.67,8.72,0.43,-0.4,0.35,17.46,9.8,-6.92,,1.27,,,,,-68.0,10.0,-56.0,,,0.57,,1.19,1.46
Sagittarius_II,298.16471,-22.06525,18.937,-22.893,66.53,1.56,59.54,1.51,18500.0,3370.0,14.04,0.13,1.48,0.31,20.39,29.0,39.31,151.12,-1.06,-1.43,-175.73,0.37,0.6,-0.804,0.044,-0.882,0.028,-0.29,0.64,0.4,10.23,-0.65,0.44,2.1,-0.12,-0.02,,,,-49.79,1.36,19.89,0.47,-25.88,0.61,-21.76,6.54,-115.32,8.81,200.37,12.19,42.34,3.95,92.2,9.3,,,,,,,,,,,,,,,,,,,,
NGC_6838,298.44373,18.77919,56.746,-4.564,4.0,0.05,6.86,0.01,65600.0,3270.0,7.16,0.04,1.72,0.1,1.48,3.41,6.57,43.17,2.51,1.47,-22.72,0.2,2.8,-3.416,0.025,-2.656,0.024,0.0,3.11,2.51,9.32,-1.37,0.45,11.1,-0.37,-0.1,0.74,0.42,97.8,5.99,0.03,3.34,0.04,-0.32,0.0,-63.87,0.4,193.41,0.3,38.98,0.46,4.81,0.02,7.12,0.01,-0.78,0.25,14.48,8.19,-5.61,0.63,1.09,0.63,1.36,G1,0.0,-22.8,0.2,-7.5,2.3,0.2,1.15,,0.63,1.67
NGC_6864,301.51978,-21.92116,20.304,-25.747,20.52,0.45,14.3,0.42,370000.0,69900.0,8.51,0.05,1.66,0.32,0.38,2.06,2.96,153.65,4.96,3.24,-189.08,1.12,11.1,-0.598,0.026,-2.81,0.026,0.02,4.91,3.91,8.95,0.04,0.61,44.6,-0.37,-0.07,,,,-9.15,0.38,6.41,0.14,-8.91,0.2,69.74,1.66,-72.26,2.42,51.83,2.35,1.14,0.22,16.19,0.57,-1.29,0.16,17.7,8.52,-8.57,0.28,0.87,0.55,1.16,F9,0.07,-189.3,3.6,-180.8,10.3,1.5,1.8,,0.09,0.46
NGC_6934,308.54739,7.40447,52.103,-18.893,15.72,0.17,12.83,0.14,136000.0,19100.0,8.74,0.05,1.52,0.22,1.22,2.95,5.16,86.4,3.15,2.08,-406.22,0.73,4.8,-2.655,0.026,-4.689,0.026,0.01,3.64,3.0,9.26,-0.74,0.52,18.5,-0.37,-0.12,,,,-0.96,0.1,11.73,0.13,-5.09,0.06,-87.98,1.63,-301.89,1.4,122.08,1.85,2.96,0.2,42.26,1.67,-1.47,0.1,16.86,8.83,-7.45,0.2,0.77,0.49,0.99,F7/8,0.01,-411.4,1.6,-398.5,5.1,1.1,1.53,,0.22,0.69
NGC_6981,313.36542,-12.53731,35.162,-32.683,16.66,0.18,12.53,0.16,68900.0,12400.0,9.32,0.05,1.35,0.25,2.07,4.14,5.96,49.82,2.3,1.59,-331.39,1.47,3.1,-1.274,0.026,-3.361,0.026,0.0,3.02,2.59,9.15,-0.38,0.09,11.4,-0.28,-0.1,,,,-3.29,0.13,8.08,0.09,-9.0,0.1,61.63,1.8,-145.54,1.91,171.21,1.91,0.59,0.03,22.13,0.42,-1.42,0.05,16.9,9.27,-7.04,0.14,0.72,0.45,0.94,F7,0.02,-345.0,3.7,-336.2,,,1.21,,0.46,0.93
NGC_7006,315.37263,16.18732,63.77,-19.407,39.32,0.56,36.67,0.53,136000.0,35100.0,10.69,0.05,1.58,0.41,1.59,4.31,6.99,156.71,2.79,1.68,-383.47,0.73,4.1,-0.128,0.027,-0.633,0.027,0.0,3.39,2.73,9.46,-0.71,0.13,15.9,-0.38,-0.08,,,,-8.21,0.23,33.27,0.47,-13.06,0.19,59.36,4.61,-135.71,2.75,85.11,4.84,2.31,0.4,50.72,0.82,-1.52,0.05,18.8,10.56,-7.67,0.06,0.75,,0.98,F6,0.01,-384.1,0.4,-371.3,,,1.41,,0.17,0.44
Laevens_3,316.72938,14.9844,63.593,-21.176,61.77,1.65,58.85,1.6,2120.0,0.0,16.1,0.0,1.8,0.0,2.69,7.08,9.46,37.93,0.38,-0.52,-70.3,0.82,0.4,0.172,0.101,-0.666,0.08,-0.02,1.21,0.68,8.86,0.11,0.67,1.7,-0.36,-0.11,,,,-17.44,0.68,51.59,1.38,-22.31,0.6,-67.26,24.55,87.09,12.89,-115.48,25.63,11.43,4.82,77.19,3.36,,,,,,,,,,,,,,,,,,,,
NGC_7078,322.49304,12.167,65.013,-27.313,10.71,0.1,10.76,0.07,633000.0,6550.0,6.28,0.08,1.58,0.1,0.04,2.03,4.3,140.75,7.12,2.99,-106.84,0.3,13.1,-0.659,0.024,-3.803,0.024,0.01,6.05,3.81,9.47,-1.33,0.01,51.3,-0.39,-0.09,3.29,0.51,100.0,4.16,0.04,8.62,0.08,-4.91,0.04,-106.46,1.13,53.94,0.75,-29.95,1.08,3.89,0.07,10.75,0.07,-2.37,0.1,15.83,6.2,-9.19,0.06,0.68,,0.85,F3/4,0.05,-107.0,0.2,-96.0,13.5,0.9,2.29,c,0.14,1.0
NGC_7089,323.36258,-0.82325,53.371,-35.77,11.69,0.11,10.54,0.08,620000.0,11000.0,6.48,0.05,1.75,0.07,0.77,3.04,4.77,111.48,4.31,2.83,-3.78,0.3,11.0,3.435,0.025,-2.159,0.024,0.01,4.58,3.72,9.44,-0.49,0.01,43.4,-0.39,-0.08,3.01,0.7,100.0,2.52,0.06,7.61,0.07,-6.83,0.07,73.33,1.21,147.44,1.05,-172.95,1.12,0.84,0.06,18.8,0.29,-1.65,0.06,16.05,6.47,-9.03,0.09,0.66,0.46,0.92,F4,0.11,-5.3,2.0,3.8,8.2,0.6,1.59,,0.32,1.06
NGC_7099,325.09213,-23.17986,27.179,-46.835,8.46,0.09,7.36,0.04,143000.0,5710.0,7.37,0.06,1.91,0.12,0.06,2.54,4.99,75.59,5.91,2.14,-185.19,0.17,5.6,-0.737,0.025,-7.299,0.024,0.01,5.08,3.04,9.28,-1.01,0.02,23.3,-0.4,-0.13,1.1,0.4,100.0,3.03,0.05,2.64,0.03,-6.17,0.06,1.72,0.79,-80.16,0.93,108.05,0.69,1.51,0.02,8.56,0.09,-2.27,0.03,15.1,7.19,-7.45,0.03,0.6,0.41,0.86,F3,0.01,-184.2,0.2,-179.6,5.5,0.4,2.5,c,0.06,1.03
Pal_12,326.6618,-21.25261,30.51,-47.682,18.49,0.3,15.28,0.26,6270.0,1210.0,11.99,0.05,1.27,0.25,3.86,6.88,10.52,39.71,0.47,-0.19,27.91,0.28,0.7,-3.22,0.029,-3.333,0.028,0.08,1.46,1.05,9.11,-0.07,0.49,2.5,-0.22,-0.09,,,,-2.55,0.17,6.32,0.1,-13.67,0.22,-327.57,2.08,16.94,2.31,108.99,1.73,15.11,0.27,51.04,3.65,-0.85,0.02,17.13,11.99,-4.47,0.34,1.07,,,,,27.8,1.5,32.5,,,2.98,,0.02,1.72
Pal_13,346.68519,12.77154,87.103,-42.7,23.48,0.4,24.57,0.36,3020.0,559.0,13.89,0.06,1.94,0.37,1.97,12.86,16.95,38.56,0.59,-1.1,25.3,0.22,0.4,1.748,0.049,0.104,0.047,-0.02,1.31,0.31,9.26,0.7,0.64,1.7,-0.31,-0.01,,,,7.31,0.01,17.23,0.29,-15.92,0.27,161.54,5.36,215.68,3.62,-79.08,3.93,6.85,0.4,57.92,1.92,-1.88,0.05,17.75,13.47,-3.76,-0.11,0.76,,,,,25.2,0.3,30.9,0.9,0.3,0.66,,0.48,0.36
NGC_7492,347.11117,-15.61147,53.386,-63.478,24.39,0.57,23.57,0.52,26600.0,7830.0,11.14,0.05,1.37,0.4,4.7,7.56,9.89,94.38,0.96,0.52,-176.7,0.27,1.5,0.756,0.028,-2.32,0.028,0.03,2.03,1.74,9.29,0.3,0.11,5.2,-0.18,-0.09,,,,1.68,0.15,8.74,0.21,-21.82,0.51,-3.36,3.11,-74.27,3.0,71.63,1.47,2.5,0.41,26.03,0.61,-1.78,0.0,17.63,11.29,-5.81,0.23,0.42,,,,0.24,-177.5,0.6,-176.2,1.2,1.0,0.72,,0.86,1.15
